Date_wise,Flight_No,Airlines_Name,Arrival/Departure,Departure_City_Code,Departure_City,Departure_Airport,Departure_Date,Departure_time_scheduled,Departure_time_Actual,Departure_terminal,Arrival_City_Code,Arrival_City,Arrival_Airport,Arrival_Date,Arrival_time_scheduled,Arrivial_time_Actual,Arrival_terminal,Flight_Status,Flight_Time_status,Flight_delay_by_time,Flight_time,Flight_distance,Aircraft_equipment_code,Aircraft_equipment_description
24-06-2022,6E 7203,IndiGo,Arrival,VGA,Vijayawada,Vijayawada Airport,24-06-2022,08:45 IST,08:34 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,10:20 IST,10:19 IST,1,Arrived,On time,,1h 45m,309 mi,AT7,ATR 72
24-06-2022,6E 7245,IndiGo,Arrival,TRZ,Tiruchirappalli,Tiruchirapalli International Airport,24-06-2022,09:15 IST,09:00 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,10:25 IST,10:25 IST,1,Arrived,On time,,1h 25m,181 mi,AT7,ATR 72
24-06-2022,6E 6066,IndiGo,Arrival,HYD,Hyderabad,Rajiv Gandhi International Airport,24-06-2022,09:30 IST,09:20 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,10:35 IST,10:39 IST,1,Arrived,On time,,1h 19m,283 mi,32Q,Airbus A321neo
24-06-2022,I5 740,AirAsia India,Arrival,DEL,Delhi,Indira Gandhi International Airport,24-06-2022,08:10 IST,08:10 IST,3,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,10:40 IST,11:03 IST,,Arrived,Delayed,23m,2h 53m,1062 mi,32N,Airbus A320neo
24-06-2022,6E 144,IndiGo,Arrival,VNS,Varanasi,Lal Bahadur Shastri International Airport,24-06-2022,08:25 IST,08:24 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,10:45 IST,10:39 IST,1,Arrived,On time,,2h 15m,910 mi,32N,Airbus A320neo
24-06-2022,SG 4004,SpiceJet,Arrival,SAG,Shirdi,Shirdi Airport,24-06-2022,08:35 IST,11:38 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,10:45 IST,13:31 IST,,Arrived,Delayed,2h 46m,1h 53m,500 mi,DH4,De Havilland (Bombardier) DHC-8-400 Dash 8Q
24-06-2022,UK 863,Vistara,Arrival,BOM,Mumbai,Chhatrapati Shivaji International Airport,24-06-2022,09:05 IST,09:06 IST,2,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,10:45 IST,11:04 IST,,Arrived,Delayed,19m,1h 58m,518 mi,32N,Airbus A320neo
24-06-2022,6E 6482,IndiGo,Arrival,COK,Kochi,Cochin International Airport,24-06-2022,09:40 IST,09:36 IST,1,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,10:45 IST,10:37 IST,1,Arrived,On time,,1h 1m,229 mi,32N,Airbus A320neo
24-06-2022,G8 42,Go First,Arrival,HKT,Phuket,Phuket International Airport,24-06-2022,08:45 +07,08:29 +07,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,10:50 IST,11:00 IST,,Arrived,On time,,4h 1m,1441 mi,,
24-06-2022,W2 9174,FlexFlight,Arrival,HKT,Phuket,Phuket International Airport,24-06-2022,08:45 +07,08:29 +07,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,10:50 IST,11:00 IST,,Arrived,On time,,4h 1m,1441 mi,32N,Airbus A320neo
